A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Randy Couture,Vitor Belfort,Light Heavyweight,KO/TKO,2004.0,LasVegas,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,72.0,185.0,74.0,Southpaw,1977.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6
Joe Riggs,Joe Doerksen,Middleweight,KO/TKO,2004.0,LasVegas,72.0,185.0,70.0,Southpaw,1982.0,2.41,51.0,1.69,57.0,2.45,55.0,62.0,0.6,72.0,185.0,75.0,Orthodox,1977.0,1.43,42.0,2.79,50.0,2.02,33.0,33.0,2.3
Chuck Liddell,Vernon White,Light Heavyweight,KO/TKO,2004.0,LasVegas,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0,72.0,205.0,--,Southpaw,1971.0,2.11,38.0,2.2,54.0,0.88,28.0,44.0,0.0
David Terrell,Matt Lindland,Middleweight,KO/TKO,2004.0,LasVegas,73.0,185.0,--,Southpaw,1978.0,2.34,63.0,2.71,37.0,5.54,50.0,0.0,5.5,72.0,185.0,74.0,Southpaw,1970.0,2.62,50.0,1.56,52.0,3.01,48.0,60.0,1.3
Justin Eilers,Mike Kyle,Heavyweight,KO/TKO,2004.0,LasVegas,73.0,235.0,--,Orthodox,1978.0,2.86,43.0,5.66,49.0,0.82,25.0,50.0,0.0,76.0,205.0,77.0,Orthodox,1980.0,3.93,51.0,3.35,49.0,1.33,62.0,50.0,0.8
Chris Lytle,Ronald Jhun,Welterweight,SUB,2004.0,LasVegas,71.0,170.0,68.0,Orthodox,1974.0,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4,71.0,170.0,--,Orthodox,1970.0,1.45,57.0,3.01,50.0,1.81,100.0,100.0,0.0
Karo Parisyan,Nick Diaz,Welterweight,S-DEC,2004.0,LasVegas,70.0,170.0,72.0,Orthodox,1982.0,2.49,41.0,2.19,58.0,5.27,59.0,59.0,1.0,73.0,170.0,76.0,Southpaw,1983.0,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0
Yves Edwards,Josh Thomson,Lightweight,KO/TKO,2004.0,LasVegas,69.0,155.0,73.0,Southpaw,1976.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,70.0,155.0,71.0,Orthodox,1978.0,2.59,47.0,2.12,64.0,1.92,39.0,54.0,1.3
Ken Shamrock,Kimo Leopoldo,Heavyweight,KO/TKO,2004.0,LasVegas,73.0,205.0,72.0,Orthodox,1964.0,1.47,46.0,4.3,39.0,0.94,60.0,44.0,2.5,75.0,235.0,--,Orthodox,1968.0,0.76,83.0,2.12,30.0,4.55,100.0,0.0,2.3
Frank Trigg,Dennis Hallman,Welterweight,KO/TKO,2004.0,LasVegas,69.0,170.0,71.0,Southpaw,1972.0,2.79,46.0,1.9,56.0,2.35,47.0,75.0,0.8,69.0,155.0,72.0,Orthodox,1975.0,1.12,44.0,1.96,43.0,1.79,30.0,25.0,2.1
